roi_ind,important,r,p,r_abs,r_sign
118,0.0,0.35,0.27195237567171243,0.35,pos
119,0.0,-0.02,0.9399843589613524,0.02,neg
120,0.0,0.04,0.8942392935446303,0.04,pos
121,0.0,0.09,0.7734620281772816,0.09,pos
122,0.0,0.01,0.9832775416459194,0.01,pos
123,0.0,-0.51,0.08731692722234602,0.51,neg
124,0.0,0.1,0.7543065514392622,0.1,pos
125,0.0,0.24,0.45794366475996723,0.24,pos
126,0.0,0.01,0.9747998577393387,0.01,pos
127,0.0,0.36,0.25291988835097207,0.36,pos
128,0.0,0.3,0.346022282264973,0.3,pos
129,0.0,0.13,0.6983206035165936,0.13,pos
130,0.0,-0.15,0.6320337792958712,0.15,neg
131,0.0,-0.09,0.7889392496868737,0.09,neg
132,0.0,0.05,0.8803649579459896,0.05,pos
133,0.0,-0.04,0.895380003084804,0.04,neg
134,0.0,0.04,0.9058495284377519,0.04,pos
135,0.0,-0.43,0.16550122076014828,0.43,neg
136,0.0,-0.51,0.0934825344364761,0.51,neg
137,0.0,-0.01,0.970453139286396,0.01,neg
138,0.0,-0.29,0.3690968808421744,0.29,neg
139,0.0,-0.19,0.5447045051760954,0.19,neg
140,0.0,-0.6,0.03812992829922372,0.6,neg
141,0.0,-0.43,0.16326260127445968,0.43,neg
142,0.0,-0.51,0.09038249150496756,0.51,neg
143,0.0,-0.45,0.14000018914636586,0.45,neg
144,0.0,-0.56,0.056273001024569766,0.56,neg
145,0.0,-0.69,0.013757226336540787,0.69,neg
146,0.0,-0.02,0.9422647323919133,0.02,neg
147,0.0,0.15,0.6527372752462737,0.15,pos
148,0.0,-0.19,0.5494787649617197,0.19,neg
149,0.0,-0.43,0.16256668035784555,0.43,neg
150,0.0,-0.53,0.07921429899899891,0.53,neg
151,0.0,0.17,0.6064484264539614,0.17,pos
152,0.0,-0.21,0.5205312839306919,0.21,neg
153,0.0,0.01,0.9784143833149499,0.01,pos
154,0.0,0.02,0.9482150662972788,0.02,pos
155,0.0,0.01,0.966101618309313,0.01,pos
156,0.0,-0.26,0.4080746609090446,0.26,neg
157,0.0,-0.12,0.700262072554237,0.12,neg
158,0.0,-0.39,0.2131318196314167,0.39,neg
159,0.0,-0.27,0.40397231172713444,0.27,neg
160,0.0,0.57,0.05148321986853287,0.57,pos
161,0.0,-0.12,0.7061863807097318,0.12,neg
162,0.0,-0.21,0.5182776810603301,0.21,neg
163,0.0,-0.17,0.5943184696873575,0.17,neg
164,0.0,-0.08,0.8034331033110927,0.08,neg
165,0.0,0.21,0.5198155417818905,0.21,pos
166,0.0,0.41,0.18351625793404341,0.41,pos
167,0.0,0.15,0.6479005799836479,0.15,pos
168,0.0,0.33,0.3000724477727795,0.33,pos
169,0.0,0.41,0.18399228132477008,0.41,pos
170,0.0,0.22,0.5006581105931122,0.22,pos
171,1.0,0.42,0.17863356588555426,0.42,pos
172,0.0,-0.11,0.7233728081763131,0.11,neg
173,0.0,-0.49,0.10385925379935718,0.49,neg
174,0.0,0.13,0.6761778462014122,0.13,pos
175,0.0,0.24,0.460405706916678,0.24,pos
176,0.0,-0.2,0.5292562414733916,0.2,neg
177,0.0,0.22,0.4844433506876882,0.22,pos
178,0.0,-0.11,0.7437329806988278,0.11,neg
179,0.0,0.08,0.7975172060509804,0.08,pos
180,0.0,-0.5,0.10107361038830745,0.5,neg
181,0.0,-0.19,0.5450246709034429,0.19,neg
182,0.0,0.28,0.3827962994013124,0.28,pos
183,0.0,0.04,0.9065849300469455,0.04,pos
184,0.0,0.14,0.6731876105839035,0.14,pos
185,0.0,0.2,0.5381242813996955,0.2,pos
186,0.0,-0.02,0.9449143682427199,0.02,neg
187,0.0,-0.6,0.038077210556299756,0.6,neg
188,0.0,-0.43,0.16135451004088425,0.43,neg
189,0.0,-0.68,0.014101499745645747,0.68,neg
190,0.0,-0.67,0.01700600258681042,0.67,neg
191,0.0,-0.29,0.36619139918804755,0.29,neg
192,0.0,-0.37,0.23126821700682756,0.37,neg
193,0.0,-0.45,0.14139418226843778,0.45,neg
194,0.0,0.52,0.08437319682748232,0.52,pos
195,0.0,0.62,0.03208937528290603,0.62,pos
196,0.0,0.61,0.0341465466562335,0.61,pos
