,mtest,seed,fold,balanced_accuracy,roc_auc
362,overcome,6,3,0.5714285714285714,0.5178571428571428
363,overcome,6,4,0.5208333333333333,0.5138888888888888
364,overcome,6,5,0.5277777777777778,0.4722222222222222
365,overcome,6,6,0.6212121212121212,0.6969696969696969
366,overcome,6,7,0.6458333333333334,0.6979166666666666
367,overcome,6,8,0.5416666666666666,0.7222222222222222
368,overcome,6,9,0.65,0.8875
369,overcome,6,10,0.487012987012987,0.49350649350649345
370,overcome,7,1,0.5303030303030303,0.6666666666666666
371,overcome,7,2,0.6857142857142857,0.6571428571428571
372,overcome,7,3,0.5125,0.475
373,overcome,7,4,0.6125,0.7
374,overcome,7,5,0.75,0.7638888888888888
375,overcome,7,6,0.78125,0.71875
376,overcome,7,7,0.4097222222222222,0.4861111111111111
377,overcome,7,8,0.5833333333333333,0.5729166666666666
378,overcome,7,9,0.825,0.8875
379,overcome,7,10,0.47916666666666663,0.3472222222222222
